	album_type	song_title	release_date	id	artists	category
0	single	Already Dead	2021-11-12	7qM1BWAsZMTYh4BcYLb0uQ	Juice WRLD	HipHop
1	single	Bad Man (Smooth Criminal)	2021-11-12	6RfhBNU1FPWTG7VESlfgOl	Polo G	HipHop
2	single	ROOF	2021-11-12	1zwvbkUqTozLnmIECvBfgs	DaBaby	HipHop
3	single	ESCAPE PLAN	2021-11-05	4R67rQNSbbsR4TdUVOIdez	Travis Scott	HipHop
4	single	Lion Eyes	2021-11-12	6MZoicv1j68tNiSJyKwNrB	Lil Durk	HipHop
5	single	Jumpin (feat. Polo G)	2021-11-05	1z7LV5wkExwW8YJk0IrPUA	NLE Choppa, Polo G	HipHop
6	album	Knife Talk (with 21 Savage ft. Project Pat)	2021-09-03	2BcMwX1MPV6ZHP4tUT9uq6	Drake, 21 Savage, Project Pat	HipHop
7	single	Too Easy	2021-09-24	4eL3XeuGaEoVT8ttDh3hwY	Gunna, Future	HipHop
8	single	Ambition For Cash	2021-10-01	1tkipCYkIgti8f1tqjfcWe	Key Glock	HipHop
9	album	Fair Trade (with Travis Scott)	2021-09-03	40iJIUlhi6renaREYGeIDS	Drake, Travis Scott	HipHop
10	single	MAFIA	2021-11-05	08F16baYbciTva9P4BvpiI	Travis Scott	HipHop
11	single	family ties (with Kendrick Lamar)	2021-08-27	7Bpx2vsWfQFBACRz4h3IqH	Baby Keem, Kendrick Lamar	HipHop
12	single	Sharing Locations (feat. Lil Baby & Lil Durk)	2021-08-27	3J4VKkUpLvomXJbn9ZAypO	Meek Mill, Lil Durk, Lil Baby	HipHop
13	single	Not In The Mood (feat. Fivio Foreign & Kay Flock)	2021-10-22	25GyyK9CyZRiDCsPY51fIT	Lil Tjay, Fivio Foreign, Kay Flock	HipHop
14	album	Switches & Dracs (with Lil Durk feat. EST Gee)	2021-10-22	4c7LkE1lSNj3RR4cZo0jEi	Moneybagg Yo, Lil Durk, EST Gee	HipHop
15	album	Hot (feat. Moneybagg Yo)	2021-10-01	5qyZ6LcHvBiIHLaoED8K4g	Meek Mill, Moneybagg Yo	HipHop
16	album	Way 2 Sexy (with Future & Young Thug)	2021-09-03	0k1WUmIRnG3xU6fvvDVfRG	Drake, Future, Young Thug	HipHop
17	album	Wreck (feat. Big Sean)	2021-11-05	6fSRCnfSfTBCbgoa6Nwhim	2 Chainz, Big Sean	HipHop
18	album	Flocky Flocky (feat. Travis Scott)	2021-10-08	25r6MZ4Gtd76l43qnZI1DG	Don Toliver, Travis Scott	HipHop
19	single	Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)	2021-10-08	4yNoUQkYf1QF8iYlEzNynH	Nardo Wick, G Herbo, Lil Durk, 21 Savage	HipHop
20	album	LLC (feat. Moneybagg Yo)	2021-11-12	15OlC497ScJt9N2BS8lOev	Money Man, Moneybagg Yo	HipHop
21	album	Feelin' Like Tunechi	2021-10-01	4HTY26kzdGCKJF1EqcRd2J	Lil Wayne, Rich The Kid	HipHop
22	single	Your Heart	2021-09-24	2DTpP3caqX3QdJIEoS83mD	Joyner Lucas, J. Cole	HipHop
23	album	Keeper (feat. A Boogie Wit da Hoodie)	2021-08-27	5b2CRPYt0QNA0jaCJNIIdn	OHGEESY, A Boogie Wit da Hoodie	HipHop
24	single	Waves	2021-07-23	42Q71LGgYI4eBdebWn5m6D	Culture Jam, Gunna, Polo G	HipHop
25	album	Rich MF (feat. Polo G & Lil Durk)	2021-08-21	6cUHiQEECDl5m3WFGQ1GCR	Trippie Redd, Polo G, Lil Durk	HipHop
26	album	Girls Want Girls (with Lil Baby)	2021-09-03	37Nqx7iavZpotJSDXZWbJ3	Drake, Lil Baby	HipHop
27	single	Come Through (feat. Lil Tecca)	2021-09-24	3RoCi49XvcidDK7OqGw7fb	Bankrol Hayden, Lil Tecca	HipHop
28	single	TWINNEM (Remix) (feat. DaBaby)	2021-11-09	21hKipgjcM6JL2mmoUKrQi	Coi Leray, DaBaby	HipHop
29	single	Super	2021-10-07	1rjnHhnDtoboZAXJyJgzaz	Cordae	HipHop
30	album	No Where	2021-09-24	2f2WskmLwsLtGkjntD8NG7	YoungBoy Never Broke Again	HipHop
31	album	Praise God	2021-08-29	0WSEq9Ko4kFPt8yo3ICd6T	Kanye West	HipHop
32	album	Way Bigger	2021-10-08	0HNKMJ2EKCaT2EqcCBj1EH	Don Toliver	HipHop
33	album	Bubbly (with Drake & Travis Scott)	2021-10-15	4KDNRh9Oor80z3XIxdWlui	Young Thug, Drake, Travis Scott	HipHop
34	album	Hurricane	2021-08-29	6Hfu9sc7jvv6coyy2LlzBF	Kanye West	HipHop
35	album	range brothers (with Kendrick Lamar)	2021-09-10	0UTyLmkQgPOEIz95OVAJTR	Baby Keem, Kendrick Lamar	HipHop
36	album	LOT OF ME	2021-09-01	7e7Iq9lhisbqgRwxaCVvYd	Lil Tecca	HipHop
37	album	Chosen (feat. Ty Dolla $ign)	2020-12-04	1dIWPXMX4kRHj6Dt2DStUQ	Blxst, Tyga, Ty Dolla $ign	HipHop
38	single	Prada (feat. Lil Tecca)	2021-10-08	4wuMS7NGVbU7hdu94K5icd	24kGoldn, Lil Tecca	HipHop
39	album	Stressed (with J. Cole & T-Shyne)	2021-10-15	0uqsdBw9KvD8jSWmfMmMAp	Young Thug, J. Cole, T-Shyne	HipHop
40	single	Pissed Me Off	2021-10-15	52nTQQahs46s1iHFQ3Wv5Q	Lil Durk	HipHop
41	single	The Jackie (with J. Cole & Lil Tjay)	2021-07-09	15qKrPi4Kg0z7g9HlwWyeb	Bas, J. Cole, Lil Tjay	HipHop
42	album	Scorpio	2021-10-22	0BFGDkrXAneskCJdudSCro	Moneybagg Yo	HipHop
43	single	What A Life	2021-10-22	5bjTLWk5cBOACEVPl3oqkU	Big Sean, Hit-Boy	HipHop
44	album	Tiffany Nikes	2021-10-22	1yrg59BEI7zSxvAXRcu7YF	Wale	HipHop
45	album	Sky	2020-12-25	29TPjc8wxfz4XMn21O7VsZ	Playboi Carti	HipHop
46	album	Eat It	2021-10-29	4V5Dv8IjHNTk2YJzU9vgsW	Megan Thee Stallion	HipHop
47	album	CAN'T TOUCH THIS	2021-10-22	1LJYn86ysceH708AIkw0VZ	BIA	HipHop
48	single	Big Energy	2021-09-24	6Zu3aw7FfjAF9WA0fA81Oq	Latto	HipHop
49	album	Life Support	2021-09-24	2CMVajzxRuxsFNzYFkzjTb	YoungBoy Never Broke Again	HipHop
